# ETH Hotel Sample Benchmark Trajectories (Format: frame_id  ped_id  pos_x(m)  pos_y(m))
0  1  -5.20  2.10
0  2  -4.80  1.90
0  3  4.50  -2.20
0  4  0.00  3.50
10  1  -4.80  2.05
10  2  -4.40  1.85
10  3  4.10  -2.10
10  4  0.05  3.10
20  1  -4.40  2.00
20  2  -4.00  1.80
20  3  3.70  -2.00
20  4  0.10  2.70
30  1  -4.00  1.95
30  2  -3.60  1.75
30  3  3.30  -1.90
30  4  0.15  2.30
40  1  -3.60  1.90
40  2  -3.20  1.70
40  3  2.90  -1.80
40  4  0.20  1.90
50  1  -3.20  1.85
50  2  -2.80  1.65
50  3  2.50  -1.70
50  4  0.25  1.50
60  1  -2.80  1.80
60  2  -2.40  1.60
60  3  2.10  -1.60
60  4  0.30  1.10
70  1  -2.40  1.75
70  2  -2.00  1.55
70  3  1.70  -1.50
70  4  0.35  0.70
80  1  -2.00  1.70
80  2  -1.60  1.50
80  3  1.30  -1.40
80  4  0.40  0.30
90  1  -1.60  1.65
90  2  -1.20  1.45
90  3  0.90  -1.30
90  4  0.45  -0.10
100  1  -1.20  1.60
100  2  -0.80  1.40
100  3  0.50  -1.20
100  4  0.50  -0.50
